,vaccines,people_vaccinated
0,"Covaxin, Oxford/AstraZeneca",51441436.0
1,"EpiVacCorona, Sputnik V",6300000.0
2,Johnson&Johnson,231605.0
3,"Johnson&Johnson, Moderna, Pfizer/BioNTech",91707729.0
4,Moderna,91918.0
5,"Moderna, Oxford/AstraZeneca",43073.0
6,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",47111432.0
7,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1903498.0
8,"Moderna, Pfizer/BioNTech",7930532.0
9,Oxford/AstraZeneca,8056185.0
10,"Oxford/AstraZeneca, Pfizer/BioNTech",61809097.0
11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",3480415.0
12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1844536.0
13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",53886.0
14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",5901505.0
15,"Oxford/AstraZeneca, Sinopharm/Beijing",4365315.0
16,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2981814.0
17,"Oxford/AstraZeneca, Sinovac",14891727.0
18,Pfizer/BioNTech,3090925.0
19,"Pfizer/BioNTech, Sinopharm/Beijing",296105.0
20,"Pfizer/BioNTech, Sinovac",17442038.0
21,"Pfizer/BioNTech, Sputnik V",38853.0
22,Sinopharm/Beijing,1106923.0
23,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",0.0
24,"Sinopharm/Beijing, Sputnik V",55582.0
25,Sinovac,7701083.0
26,Sputnik V,344530.0
