,country,total_vaccinations
0,Afghanistan,54000.0
1,Albania,64075.0
2,Algeria,75000.0
3,Andorra,9288.0
4,Angola,87022.0
5,Anguilla,5348.0
6,Antigua and Barbuda,25677.0
7,Argentina,3570460.0
8,Australia,507000.0
9,Austria,1489710.0
10,Azerbaijan,510420.0
11,Bahamas,110.0
12,Bahrain,724001.0
13,Bangladesh,5139456.0
14,Barbados,62765.0
15,Belarus,30000.0
16,Belgium,1698809.0
17,Belize,18182.0
18,Bermuda,34204.0
19,Bolivia,263144.0
20,Brazil,17519083.0
21,Bulgaria,434158.0
22,Cambodia,296149.0
23,Canada,4967497.0
24,Cayman Islands,44061.0
25,Chile,9645015.0
26,China,102417000.0
27,Colombia,1596288.0
28,Costa Rica,348037.0
29,Cote d'Ivoire,31104.0
30,Croatia,416745.0
31,Cyprus,129438.0
32,Czechia,1560919.0
33,Denmark,1032419.0
34,Dominica,13565.0
35,Dominican Republic,800000.0
36,Ecuador,191179.0
37,Egypt,1315.0
38,El Salvador,49000.0
39,England,27761724.0
40,Equatorial Guinea,6565.0
41,Estonia,252278.0
42,Faeroe Islands,9959.0
43,Falkland Islands,1732.0
44,Finland,921123.0
45,France,10185810.0
46,Germany,12363439.0
47,Ghana,420000.0
48,Gibraltar,57646.0
49,Greece,1604238.0
50,Greenland,5130.0
51,Grenada,8606.0
52,Guatemala,91918.0
53,Guernsey,29383.0
54,Guinea,25263.0
55,Guyana,15524.0
56,Honduras,43073.0
57,Hong Kong,449200.0
58,Hungary,2589469.0
59,Iceland,60366.0
60,India,60269782.0
61,Indonesia,10425690.0
62,Iran,124193.0
63,Ireland,732678.0
64,Isle of Man,33336.0
65,Israel,9927583.0
66,Italy,9210893.0
67,Jamaica,16096.0
68,Japan,822869.0
69,Jersey,52265.0
70,Jordan,320140.0
71,Kazakhstan,109995.0
72,Kenya,64100.0
73,Kuwait,360000.0
74,Laos,40732.0
75,Latvia,126292.0
76,Lebanon,181127.0
77,Liechtenstein,4992.0
78,Lithuania,474961.0
79,Luxembourg,82653.0
80,Macao,44908.0
81,Malawi,90107.0
82,Malaysia,536681.0
83,Maldives,227696.0
84,Malta,171873.0
85,Mauritius,3843.0
86,Mexico,6724789.0
87,Moldova,33885.0
88,Monaco,18081.0
89,Mongolia,276068.0
90,Montenegro,16451.0
91,Montserrat,932.0
92,Morocco,7634475.0
93,Mozambique,46439.0
94,Myanmar,380000.0
95,Namibia,152.0
96,Nepal,1600000.0
97,Netherlands,2097980.0
98,New Zealand,41500.0
99,Nigeria,277458.0
100,North Macedonia,5300.0
101,Northern Cyprus,97969.0
102,Northern Ireland,839609.0
103,Norway,865800.0
104,Oman,129198.0
105,Pakistan,350000.0
106,Panama,352876.0
107,Paraguay,28830.0
108,Peru,790790.0
109,Philippines,508332.0
110,Poland,5755551.0
111,Portugal,1536184.0
112,Qatar,721236.0
113,Romania,2799895.0
114,Russia,10600000.0
115,Rwanda,348926.0
116,Saint Helena,3107.0
117,Saint Kitts and Nevis,7580.0
118,Saint Lucia,20247.0
119,Saint Vincent and the Grenadines,9383.0
120,San Marino,10308.0
121,Saudi Arabia,3995150.0
122,Scotland,2653521.0
123,Senegal,225309.0
124,Serbia,2282876.0
125,Seychelles,96523.0
126,Sierra Leone,10673.0
127,Singapore,1109000.0
128,Slovakia,871081.0
129,Slovenia,295780.0
130,South Africa,231605.0
131,South Korea,799090.0
132,Spain,7067371.0
133,Sri Lanka,884164.0
134,Suriname,22377.0
135,Sweden,1482153.0
136,Switzerland,1342748.0
137,Taiwan,9232.0
138,Thailand,102050.0
139,Togo,42092.0
140,Trinidad and Tobago,991.0
141,Tunisia,38853.0
142,Turkey,14652659.0
143,Turks and Caicos Islands,11283.0
144,Uganda,46664.0
145,Ukraine,192264.0
146,United Arab Emirates,7959682.0
147,United Kingdom,33020952.0
148,United States,140180735.0
149,Uruguay,509969.0
150,Venezuela,12194.0
151,Vietnam,44000.0
152,Wales,1766098.0
153,Zimbabwe,65466.0
